id,pathId,Category,Topic,Priority,Notes,PracticeExercise,link
27,csharp,ASP.NET Core,gRPC vs. REST,Medium,Understand when to use gRPC (internal microservices) vs REST (public APIs).,"Create a simple gRPC service definition (.proto file). Implement the service in ASP.NET Core. Create a client to consume it and compare the code/performance to a standard REST controller.",https://nhonvo.github.io/posts/2025-09-06-grpc-vs-rest
28,csharp,ASP.NET Core,"Health Checks and Resilience (Polly)",Medium,"Implement health checks for dependencies (DB, external APIs). Understand Retry, Circuit Breaker patterns.","Add Health Checks to an API to report the status of the database connection. Use Polly to wrap an external HTTP call with a Retry policy (retry 3 times with exponential backoff).",https://nhonvo.github.io/posts/2025-09-06-health-checks-resilience
29,csharp,ASP.NET Core,"Hosting Models (Kestrel, IIS, Docker)",Medium,Understand the differences and when to use each hosting model.,"Dockerize a simple ASP.NET Core API. Run it in a container. Compare this to running it directly on IIS Express (if possible) or via Kestrel.",https://nhonvo.github.io/posts/2025-09-06-hosting-models
30,csharp,ASP.NET Core,HttpClientFactory for Resilient HTTP Requests,Medium,Avoid socket exhaustion issues and manage HttpClient lifetimes properly.,"Register a named HttpClient in the DI container. Inject IHttpClientFactory into a service and use it to create a client to call an external API.",https://nhonvo.github.io/posts/2025-09-06-httpclientfactory
31,csharp,ASP.NET Core,Minimal APIs vs. Controllers,Medium,Contrast the Minimal API approach with the traditional Controller-based approach.,"Refactor a simple Controller-based API endpoint (e.g., GetWeather) into a Minimal API endpoint in Program.cs. Discuss the pros and cons (boilerplate vs structure).",https://nhonvo.github.io/posts/2025-09-06-minimal-apis
32,csharp,ASP.NET Core,Response Caching & Compression,Medium,Optimize API performance by reducing bandwidth and server load.,"Implement Response Caching in a controller. Use the [ResponseCache] attribute. Also, enable Response Compression middleware for the application.",https://nhonvo.github.io/posts/2025-09-06-response-caching
33,csharp,Behavioral & System Design,Agile/Scrum Methodologies,Medium,Understanding the development process.,Explain the difference between Scrum and Kanban. Describe the purpose of key ceremonies (Daily Standup, Sprint Planning, Retro).,https://nhonvo.github.io/posts/2025-09-06-agile-scrum
34,csharp,Behavioral & System Design,"Behavioral Questions (STAR Method)",Medium,Soft skills and cultural fit.,"Prepare answers for common questions: 'Tell me about a time you failed', 'How do you handle conflict', 'Describe a challenging project'. Use the Situation, Task, Action, Result format.",https://nhonvo.github.io/posts/2025-09-06-behavioral-questions
35,csharp,Behavioral & System Design,Code Review Best Practices,Medium,Quality assurance and team collaboration.,Explain what you look for in a code review (readability, correctness, security, performance). How do you give constructive feedback?,https://nhonvo.github.io/posts/2025-09-06-code-review
36,csharp,Behavioral & System Design,"System Design (Scalability, Load Balancing, Caching, CAP Theorem)",Medium,Designing scalable systems.,"Design a URL Shortener service (like bit.ly). Discuss database choice, ID generation strategy, caching layers, and handling high read traffic.",https://nhonvo.github.io/posts/2025-09-06-system-design
37,csharp,Behavioral & System Design,Technical Communication,Medium,Explaining complex concepts to non-technical stakeholders.,Explain 'Recursion' or 'DNS' to a 5-year-old (or a non-technical project manager).,https://nhonvo.github.io/posts/2025-09-06-technical-communication
38,csharp,Cloud & DevOps (Azure/AWS),Application Insights & Monitoring,High,"Logging, Tracing, Alerts.","Integrate Application Insights into a .NET Core app. Generate some traffic and inspect the 'Failures' and 'Performance' blades in the Azure Portal.",https://nhonvo.github.io/posts/2025-09-06-app-insights
39,csharp,Cloud & DevOps (Azure/AWS),Azure App Service & Hosting,High,"Deploying Web Apps, Slots, Scaling.","Deploy a web app to Azure App Service. Configure a 'Staging' deployment slot. Swap Staging to Production.",https://nhonvo.github.io/posts/2025-09-06-azure-app-service
40,csharp,Cloud & DevOps (Azure/AWS),Azure Functions (Serverless),High,"Triggers (HTTP, Timer, Queue), Bindings.","Create an Azure Function triggered by an HTTP request that puts a message onto an Azure Storage Queue.",https://nhonvo.github.io/posts/2025-09-06-azure-functions
41,csharp,Cloud & DevOps (Azure/AWS),"Azure SQL & Storage (Blob, Table, Queue)",High,Managed databases and cloud storage options.,"Write a small app that uploads a file to Azure Blob Storage and saves metadata to Azure SQL (or Table Storage).",https://nhonvo.github.io/posts/2025-09-06-azure-storage
42,csharp,Cloud & DevOps (Azure/AWS),"CI/CD Pipelines (Azure DevOps / GitHub Actions)",High,"Build, Test, and Release automation.","Create a GitHub Action or Azure DevOps Pipeline that builds a .NET project, runs tests, and (if successful) deploys it to an Azure App Service.",https://nhonvo.github.io/posts/2025-09-06-ci-cd-pipelines
43,csharp,Cloud & DevOps (Azure/AWS),Azure Key Vault,Medium,Secret management.,"Store a database connection string in Key Vault. Configure the App Service to read this secret using Managed Identity (no passwords in code!).",https://nhonvo.github.io/posts/2025-09-06-azure-key-vault
44,csharp,Cloud & DevOps (Azure/AWS),Azure Service Bus / Event Grid,Medium,"Messaging patterns (Queues, Topics).","Create a Service Bus Topic. Write a publisher app that sends messages. Write two subscriber apps that listen to the same topic but different subscriptions (Pub/Sub pattern).",https://nhonvo.github.io/posts/2025-09-06-azure-service-bus
45,csharp,Cloud & DevOps (Azure/AWS),"Containerization (Docker & Kubernetes/AKS)",Medium,"Basics of Docker files, composing, and orchestration.","Write a Dockerfile for a .NET app. Build the image. Push it to Azure Container Registry (ACR). Deploy it to a local Kubernetes cluster (or AKS).",https://nhonvo.github.io/posts/2025-09-06-containerization
46,csharp,Cloud & DevOps (Azure/AWS),Distributed Caching (Redis),Medium,Caching strategies in a distributed environment.,"Implement Redis caching in a .NET app using the IDistributedCache interface. Cache a value and retrieve it.",https://nhonvo.github.io/posts/2025-09-06-redis-caching
47,csharp,Cloud & DevOps (Azure/AWS),"Infrastructure as Code (Bicep / Terraform)",Medium,Provisioning resources via code.,"Write a Bicep or Terraform script to provision an Azure Resource Group and an App Service Plan.",https://nhonvo.github.io/posts/2025-09-06-iac
48,csharp,Cloud & DevOps (Azure/AWS),Microservices Architecture on Azure,Medium,API Gateway, Service Discovery (conceptually).,Design a simple microservices system diagram using Azure API Management (APIM) as a gateway and Azure Container Apps for hosting services.,https://nhonvo.github.io/posts/2025-09-06-microservices-azure
49,csharp,Cloud & DevOps (Azure/AWS),Identity Management (Azure AD / B2C),Low,Modern auth flows.,"Register an application in Azure AD. Configure a .NET Core API to protect endpoints using Azure AD Bearer tokens.",https://nhonvo.github.io/posts/2025-09-06-azure-ad
50,csharp,Data Access & Databases,"Database Concurrency Control (Pessimistic vs. Optimistic)",High,"Handle the 'Lost Update' problem.","Implement Optimistic Concurrency Control using a RowVersion (Timestamp) column in EF Core. Write a test case where two users try to update the same record simultaneously and handle the DbUpdateConcurrencyException.",https://nhonvo.github.io/posts/2025-09-06-db-concurrency
51,csharp,Data Access & Databases,"EF Core (Change Tracking, Loading Strategies: Eager, Explicit, Lazy)",High,"Understand the difference between Tracking and NoTracking queries, and Eager vs Lazy loading.","Create a scenario where accessing a navigation property triggers an N+1 query problem (Lazy Loading). Fix it using Eager Loading (.Include). Then demonstrate an Explicit Load.",https://nhonvo.github.io/posts/2025-09-06-ef-core-change-tracking
52,csharp,Data Access & Databases,"EF Core Performance Tuning (AsNoTracking, Compiled Queries, Query Splitting)",High,"Know techniques to optimize EF Core read/write performance.","Write a query that retrieves a large dataset. Optimize it using AsNoTracking(). Then, use Compiled Queries (or just explain the concept) to improve reuse performance. Use Query Splitting for a complex join.",https://nhonvo.github.io/posts/2025-09-06-ef-core-performance
53,csharp,Data Access & Databases,"SQL Query Optimization (Execution Plans, Indexing)",High,Ability to read an execution plan and identify missing indexes or scans vs seeks.,"Given a slow SQL query generated by an app, analyze its execution plan in SSMS (or Azure Data Studio). identifying a Table Scan. Create an appropriate Non-Clustered Index to convert it to an Index Seek.",https://nhonvo.github.io/posts/2025-09-06-sql-optimization
54,csharp,Data Access & Databases,Transaction Isolation Levels,High,Understand Dirty Reads, Non-Repeatable Reads, Phantom Reads.,"Write two console apps that act as concurrent transactions. Demonstrate a Dirty Read by having one transaction read uncommitted data from the other. Fix it by changing the Isolation Level to Read Committed.",https://nhonvo.github.io/posts/2025-09-06-transaction-isolation
55,csharp,Data Access & Databases,Advanced Database Indexing,Medium,"Clustered vs Non-Clustered, Filtered Indexes, Included Columns.","Create a query that requires sorting and filtering. Create a Composite Index that satisfies both requirements (Covering Index) so the query doesn't need to touch the main table (Key Lookup).",https://nhonvo.github.io/posts/2025-09-06-advanced-indexing
56,csharp,Data Access & Databases,Dapper vs. EF Core,Medium,"Know when to use a micro-ORM (Dapper) vs a full ORM (EF Core).","Implement a high-performance read operation using Dapper for a complex report query. Compare the implementation code and execution speed with the equivalent EF Core LINQ query.",https://nhonvo.github.io/posts/2025-09-06-dapper-vs-ef-core
57,csharp,Data Access & Databases,Data Annotation vs. Fluent API,Medium,Know how to configure entities without polluting the model classes.,"Take an Entity class with Data Annotations (e.g., [Key], [Required]). Remove them and implement the same configuration using the Fluent API in the DbContext OnModelCreating method.",https://nhonvo.github.io/posts/2025-09-06-fluent-api
58,csharp,Data Access & Databases,EF Core Global Query Filters,Medium,Implement Soft Delete or Multi-tenancy automatically.,"Implement a Soft Delete pattern (IsDeleted column). Configure a Global Query Filter in EF Core so that all queries automatically exclude deleted records. Demonstrate how to bypass this filter using IgnoreQueryFilters().",https://nhonvo.github.io/posts/2025-09-06-global-query-filters
59,csharp,Data Access & Databases,EF Core Interceptors,Medium,Hook into EF Core operations for logging or auditing.,"Create an EF Core Interceptor that logs every SQL command to the console before it is executed. Or, implement an interceptor that automatically updates 'CreatedBy' and 'CreatedDate' fields on SaveChanges.",https://nhonvo.github.io/posts/2025-09-06-ef-core-interceptors
60,csharp,Data Access & Databases,EF Core Migrations Deep Dive,Medium,Manage database schema changes in production safely.,"Create a migration that adds a new column. Then, assume the requirement changed. Remove the migration (if not applied) or create a new migration to rename the column. Explain how to generate an SQL script from migrations for production deployment.",https://nhonvo.github.io/posts/2025-09-06-ef-core-migrations
61,csharp,Data Access & Databases,EF Core Second-Level Caching,Medium,Understand how to cache query results to reduce DB load (using libraries like EFCore.SecondLevelCacheInterceptor).,"Configure Second-Level Caching in an EF Core project (using a library or conceptually explaining it). Cache the results of a commonly used reference data query (e.g., 'GetCountries').",https://nhonvo.github.io/posts/2025-09-06-ef-core-caching
62,csharp,Data Access & Databases,EF Core Shadow Properties & Backing Fields,Medium,Work with properties that are not in the .NET class definition but exist in the DB.,"Configure a Shadow Property 'LastUpdated' for an entity. specific that it should be managed by the DbContext, not the entity class.",https://nhonvo.github.io/posts/2025-09-06-shadow-properties
63,csharp,Data Access & Databases,Executing Raw SQL and Stored Procedures,Medium,How to drop down to raw SQL when EF is too slow or limited.,"Write a complex Stored Procedure in the DB. Call it from EF Core using .FromSqlRaw() or .ExecuteSqlRaw(). Map the result back to a Domain Entity or a custom DTO.",https://nhonvo.github.io/posts/2025-09-06-raw-sql
64,csharp,Data Access & Databases,NoSQL Database Concepts,Medium,"Understand when to choose NoSQL (CosmosDB, Mongo) over SQL.","Design a data model for a 'User Session' store or a 'Product Catalog' with dynamic attributes. Explain why a Document DB (like MongoDB or CosmosDB) might be better than a Relational DB for this specific use case.",https://nhonvo.github.io/posts/2025-09-06-nosql-concepts
65,csharp,Data Access & Databases,Reverse Engineering an Existing Database,Medium,Scaffolding a DbContext from a legacy DB.,"Use the 'dotnet ef dbcontext scaffold' command to generate entity classes and a DbContext from an existing SQL Server database.",https://nhonvo.github.io/posts/2025-09-06-db-scaffolding
66,csharp,Software Design & Architecture,"Design Patterns (Factory, Observer, Strategy, Singleton)",High,Recognize and apply common patterns to solve recurring problems.,"Implement the Strategy Pattern for a Payment Processing system (e.g., CreditCardStrategy, PaypalStrategy). Allow the client to switch strategies at runtime.",https://nhonvo.github.io/posts/2025-09-06-design-patterns
67,csharp,Software Design & Architecture,SOLID Principles,High,The foundation of clean object-oriented design.,"Refactor a 'God Class' that violates SRP (Single Responsibility) and OCP (Open/Closed). Break it down into smaller classes/interfaces. Show how you can now extend functionality without modifying existing code.",https://nhonvo.github.io/posts/2025-09-06-solid-principles
68,csharp,Software Design & Architecture,Clean Architecture / Onion Architecture,Medium,Separation of concerns, Dependency Rule.,"Create a solution structure following Clean Architecture (Core, Infrastructure, Web/API). Implement a simple use case ensuring the Core layer has no dependencies on Infrastructure.",https://nhonvo.github.io/posts/2025-09-06-clean-architecture
69,csharp,Software Design & Architecture,CQRS (Command Query Responsibility Segregation),Medium,Separating read and write models.,"Implement a simplified CQRS pattern using MediatR. Create a Command to update data and a Query to read data, handled by separate handlers.",https://nhonvo.github.io/posts/2025-09-06-cqrs
70,csharp,Software Design & Architecture,Domain-Driven Design (DDD) Basics,Medium,Entities, Value Objects, Aggregates, Repositories.,"Model a 'Order' Aggregate Root that contains a list of 'OrderItem' entities. Ensure that OrderItems can only be added via a method on the Order class (Encapsulation), enforcing invariants (e.g., max quantity).",https://nhonvo.github.io/posts/2025-09-06-ddd-basics
71,csharp,Software Design & Architecture,Microservices Patterns (API Gateway, Circuit Breaker, Saga),Medium,Understanding distributed system challenges.,"Explain the Saga pattern for a distributed transaction (e.g., Order -> Payment -> Inventory). Implement a simulated compensation action if one step fails.",https://nhonvo.github.io/posts/2025-09-06-microservices-patterns
72,csharp,Software Design & Architecture,Event Sourcing,Low,Storing state as a sequence of events.,"Create a simple BankAccount class that reconstructs its balance by replaying a list of 'Deposited' and 'Withdrawn' events.",https://nhonvo.github.io/posts/2025-09-06-event-sourcing
73,csharp,Software Design & Architecture,Modular Monolith,Low,"A pragmatic alternative to microservices.","Refactor a monolithic app into distinct Modules (e.g., Catalog, Cart) that enforce boundaries (internal classes) and communicate only via public APIs or events.",https://nhonvo.github.io/posts/2025-09-06-modular-monolith
74,csharp,Software Design & Architecture,Serverless Architecture Patterns,Low,Event-driven designs.,"Design a system where a file upload to Blob Storage triggers a Function to process it, which then updates a database. Draw the flow.",https://nhonvo.github.io/posts/2025-09-06-serverless-architecture
75,csharp,Software Design & Architecture,Specification Pattern,Low,Encapsulating query logic.,"Create a Specification class 'ActiveProductsSpec' that encapsulates the logic 'IsActive == true && Stock > 0'. Use it to filter a repository query.",https://nhonvo.github.io/posts/2025-09-06-specification-pattern
76,csharp,Testing,Integration Testing with TestServer/WebApplicationFactory,High,Test the entire pipeline without hitting a real database (or using a test DB).,"Create an integration test for an API endpoint using WebApplicationFactory. Mock the database layer (or use an In-Memory/Docker DB) and assert that the endpoint returns the correct HTTP status code and JSON response.",https://nhonvo.github.io/posts/2025-09-06-integration-testing
77,csharp,Testing,Mocking Dependencies (Moq/NSubstitute),High,Isolate the unit under test.,Write a unit test for a Service class that depends on a Repository. Use Moq to mock the Repository's method to return a specific value. Assert that the Service logic handles this value correctly.,https://nhonvo.github.io/posts/2025-09-06-mocking-dependencies
78,csharp,Testing,Unit Testing Principles (Arrange-Act-Assert),High,"Write clean, maintainable tests.","Take a complex method with multiple execution paths. Write unit tests covering the 'Happy Path' and at least two edge cases (e.g., null input, empty list). Follow the AAA pattern.",https://nhonvo.github.io/posts/2025-09-06-unit-testing-principles
79,csharp,Testing,Snapshot Testing,Medium,Useful for testing complex object structures or UI rendering.,"Write a test that serializes a complex object graph and compares it to a stored 'baseline' snapshot. Fail the test if they differ.",https://nhonvo.github.io/posts/2025-09-06-snapshot-testing
80,csharp,Testing,Test Driven Development (TDD),Medium,Understand the Red-Green-Refactor cycle.,"Choose a simple algorithm (e.g., String Calculator). Write a failing test first. Write the minimal code to pass it. Refactor. Repeat.",https://nhonvo.github.io/posts/2025-09-06-tdd
81,java,Cloud & DevOps (AWS Focus),"AWS Essentials (EC2, S3, RDS)",High,"JD Requirement: Deploy and manage applications on AWS. Understand Compute (EC2), Storage (S3), and Database (RDS).","Create a free-tier AWS account. Launch an EC2 instance with Java installed. Connect to it via SSH. Create an S3 bucket and write a Java program using the AWS SDK to upload a file to it.",https://javaguide.example.com/posts/2025-09-06-aws-essentials-java
82,java,Cloud & DevOps (AWS Focus),"CI/CD with Jenkins & GitLab",High,"JD Requirement: Experience with Jenkins, GitLab CI/CD.","Set up a local Jenkins instance (using Docker). Create a Pipeline job that pulls a simple Java project from Git, builds it with Maven/Gradle, and runs unit tests.",https://javaguide.example.com/posts/2025-09-06-jenkins-gitlab-java
83,java,Data Access & Databases,Advanced Database Indexing,Medium,"Clustered vs Non-Clustered, Filtered Indexes, Included Columns.","Create a query that requires sorting and filtering. Create a Composite Index that satisfies both requirements (Covering Index) so the query doesn't need to touch the main table (Key Lookup).",https://javaguide.example.com/posts/2025-09-06-advanced-indexing-java
84,java,Data Access & Databases,"Advanced SQL Optimization (Oracle/PostgreSQL)",High,"JD Requirement: Expert in Oracle/PostgreSQL. Ability to read execution plans (Explain Analyze), identify Sequential Scans vs Index Scans, and optimize complex joins.","Install PostgreSQL. Write a query that performs a sequential scan. Analyze with 'EXPLAIN ANALYZE'. Create a composite index to convert it to an Index Scan/Seek. Compare performance.",https://javaguide.example.com/posts/2025-09-06-sql-optimization-java
85,java,Data Access & Databases,"Database Concurrency Control (Pessimistic vs. Optimistic)",High,"Handle the 'Lost Update' problem.","Implement Optimistic Concurrency Control using a RowVersion (Timestamp) column in EF Core. Write a test case where two users try to update the same record simultaneously and handle the DbUpdateConcurrencyException.",https://javaguide.example.com/posts/2025-09-06-db-concurrency-java
86,java,Data Access & Databases,Hibernate Filters / @Where,Low,Implement Soft Delete or Multi-tenancy automatically.,"Implement a Soft Delete pattern (IsDeleted column). Configure a Global Query Filter in EF Core so that all queries automatically exclude deleted records. Demonstrate how to bypass this filter using IgnoreQueryFilters().",https://javaguide.example.com/posts/2025-09-06-global-query-filters-java
87,java,Data Access & Databases,"Hibernate Performance (Caching, N+1, Batch Fetching)",High,"Know techniques to optimize EF Core read/write performance.","Write a query that retrieves a large dataset. Optimize it using AsNoTracking(). Then, use Compiled Queries (or just explain the concept) to improve reuse performance. Use Query Splitting for a complex join.",https://javaguide.example.com/posts/2025-09-06-ef-core-performance-java
88,java,Data Access & Databases,JPA Annotations vs XML/Programmatic Config,Medium,Know how to configure entities without polluting the model classes.,"Take an Entity class with Data Annotations (e.g., [Key], [Required]). Remove them and implement the same configuration using the Fluent API in the Repository OnModelCreating method.",https://javaguide.example.com/posts/2025-09-06-fluent-api-java
89,java,Data Access & Databases,"JPA/Hibernate (Entity Lifecycle, Fetch Types, LazyInitialization)",High,"Understand the difference between Tracking and NoTracking queries, and Eager vs Lazy loading.","Create a scenario where accessing a navigation property triggers an N+1 query problem (Lazy Loading). Fix it using Eager Loading (JOIN FETCH).",https://javaguide.example.com/posts/2025-09-06-ef-core-change-tracking-java
